graphID,label,weight,GapW-M,averageDegree,avergaeTrianglesRate,ratioOfNodesInTriangles,GCC,ACC,density
1000.10.10.10.10.2.1,1,0.037133897,0.108661549,19.5,7.68,1,0.504168581,0.555923693,0.01951952
1000.10.10.10.10.2.2,1,0.030220595,0.088533264,19.66,7.712,1,0.497131438,0.547913509,0.01967968
1000.10.10.10.10.3.1,1,0.076664833,0.220663042,19.404,7.266,1,0.481681177,0.536697569,0.019423423
1000.10.10.10.10.3.2,1,0.074741321,0.216385219,19.36,7.314,1,0.487210232,0.540327478,0.019379379
1000.10.10.10.20.2.1,1,0.017002702,0.049225246,19.48,7.32,1,0.482340538,0.509931962,0.019499499
1000.10.10.10.20.2.2,1,0.01945825,0.056637408,19.512,7.318,1,0.479596295,0.504445438,0.019531532
1000.10.10.10.20.3.1,1,0.038872831,0.110600536,19.664,7.34,1,0.472999098,0.513965951,0.019683684
1000.10.10.10.20.3.2,1,0.055164156,0.158817118,19.456,7.241,1,0.477072078,0.517551349,0.019475475
1000.10.10.7.10.2.1,1,0.079965552,0.238508232,19.044,8.93,1,0.615098498,0.658536774,0.019063063
1000.10.10.7.10.2.2,1,0.068795547,0.206208875,19.184,8.85,1,0.601413492,0.644698776,0.019203203
1000.10.10.7.10.3.1,1,0.102487509,0.306981887,19.136,8.372,1,0.56877576,0.616329218,0.019155155
1000.10.10.7.10.3.2,1,0.101979083,0.305455185,19.06,8.26,1,0.562849225,0.608680186,0.019079079
1000.10.10.7.20.2.1,1,0.026958704,0.078518047,19.664,7.832,1,0.504682533,0.544008381,0.019683684
1000.10.10.7.20.2.2,1,0.020389592,0.059016198,19.472,7.577,1,0.498705573,0.534181846,0.019491491
1000.10.10.7.20.3.1,1,0.044267169,0.126798244,19.284,7.471,1,0.498787137,0.544179237,0.019303303
1000.10.10.7.20.3.2,1,0.06639298,0.191633674,19.46,7.701,1,0.503421076,0.549576296,0.019479479
1000.10.20.10.10.2.1,1,0.020172571,0.05980229,19.388,7.844,1,0.521889554,0.572808874,0.019407407
1000.10.20.10.10.2.2,1,0.006704273,0.019696432,19.404,7.976,1,0.530342657,0.579766406,0.019423423
1000.10.20.10.10.3.1,1,0.024457465,0.071173,19.488,7.907,1,0.520300059,0.570418415,0.019507508
1000.10.20.10.10.3.2,1,0.035989026,0.105018792,19.42,7.837,1,0.518251554,0.568041386,0.019439439
1000.10.20.10.20.2.1,1,0.006125258,0.018031417,19.532,7.777,1,0.508455738,0.536744378,0.019551552
1000.10.20.10.20.2.2,1,0.00491936,0.014331053,19.612,7.096,1,0.461358415,0.482806344,0.019631632
1000.10.20.10.20.3.1,1,0.010066358,0.028860169,19.256,7.397,1,0.498047401,0.530967843,0.019275275
1000.10.20.10.20.3.2,1,0.010843283,0.031176485,19.16,7.347,1,0.501057082,0.529950505,0.019179179
1000.10.20.7.10.2.1,1,0.038891635,0.116674904,19.548,9.924,1,0.649150732,0.678012066,0.019567568
1000.10.20.7.10.2.2,1,0.031336776,0.093692826,19.624,10.098,1,0.655544015,0.680983394,0.019643644
1000.10.20.7.10.3.1,1,0.062627955,0.187426643,19.36,9.437,1,0.624746226,0.655751632,0.019379379
1000.10.20.7.10.3.2,1,0.050395744,0.150794597,19.212,9.521,1,0.641720962,0.674174686,0.019231231
1000.10.20.7.20.2.1,1,0.006134752,0.018022832,19.316,7.795,1,0.520986499,0.55454728,0.019335335
